message_size,throughput,strategy,local_network_size,foreign_network_size
100,17608.68466282479,Kafka,19,19
100,13277.131586932335,Kafka,19,19
100,15138.179237631792,Kafka,19,19
100,23313.13643041694,Kafka,19,19
100,21570.62347684809,Kafka,19,19
100,15566.68690548472,Kafka,19,19
100,17096.09153503443,Kafka,19,19
100,15903.65903101561,Kafka,19,19
100,18576.351453473726,Kafka,19,19
100,16369.335690831016,Kafka,19,19
100,20129.47041766292,Kafka,19,19
100,16874.311138075736,Kafka,19,19
100,15214.92446824635,Kafka,19,19
100,17394.37332388807,Kafka,19,19
100,23578.366334126702,Kafka,19,19
100,23723.07847794229,Kafka,19,19
100,22668.123380253062,Kafka,19,19
100,18511.069832822934,Kafka,19,19
100,13877.558239425942,Kafka,19,19
100,16767.515114565867,Kafka,19,19
100,20428.874627318204,Kafka,19,19
100,23141.799371132976,Kafka,19,19
100,21669.95497546416,Kafka,19,19
100,18124.83560950936,Kafka,19,19
100,23411.382773663387,Kafka,19,19
100,19716.49275655962,Kafka,19,19
100,13379.15866113864,Kafka,19,19
100,17878.267477203648,Kafka,19,19
100,26685.902303214378,Kafka,19,19
100,15751.214083367056,Kafka,19,19
100,26629.642784655978,Kafka,19,19
100,19189.070097244734,Kafka,19,19
100,16829.63939747426,Kafka,19,19
100,14734.061378229435,Kafka,19,19
100,16821.282401091405,Kafka,19,19
100,14081.104444218448,Kafka,19,19
100,21235.70813712087,Kafka,19,19
